lat,lon,country,state,cod_municipio,county,elevation_m,ano,yield (kg/ha)
-23.3018206318,-50.33872358404182,Brazil,Parana,4100103,Abatiá,609.72,2016,2760.0
-23.3018206318,-50.33872358404182,Brazil,Parana,4100103,Abatiá,609.72,2017,3480.0
-23.3018206318,-50.33872358404182,Brazil,Parana,4100103,Abatiá,609.72,2018,2640.0
-23.3018206318,-50.33872358404182,Brazil,Parana,4100103,Abatiá,609.72,2019,3480.0
-23.3018206318,-50.33872358404182,Brazil,Parana,4100103,Abatiá,609.72,2020,3480.0
-23.3018206318,-50.33872358404182,Brazil,Parana,4100103,Abatiá,609.72,2021,2713.0
-23.3018206318,-50.33872358404182,Brazil,Parana,4100103,Abatiá,609.72,2022,3540.0
-23.3018206318,-50.33872358404182,Brazil,Parana,4100103,Abatiá,609.72,2023,3600.0
-23.3018206318,-50.33872358404182,Brazil,Parana,4100103,Abatiá,609.72,2024,3600.0
-24.7926509257,-48.80073944963009,Brazil,Parana,4100202,Adrianópolis,678.89,2023,3500.0
-24.7926509257,-48.80073944963009,Brazil,Parana,4100202,Adrianópolis,678.89,2024,3389.0
-26.0402650228,-49.30553369221313,Brazil,Parana,4100301,Agudos do Sul,849.62,2016,3200.0
-26.0402650228,-49.30553369221313,Brazil,Parana,4100301,Agudos do Sul,849.62,2017,3200.0
-26.0402650228,-49.30553369221313,Brazil,Parana,4100301,Agudos do Sul,849.62,2018,3700.0
-26.0402650228,-49.30553369221313,Brazil,Parana,4100301,Agudos do Sul,849.62,2019,3700.0
-26.0402650228,-49.30553369221313,Brazil,Parana,4100301,Agudos do Sul,849.62,2020,3850.0
-26.0402650228,-49.30553369221313,Brazil,Parana,4100301,Agudos do Sul,849.62,2021,3450.0
-26.0402650228,-49.30553369221313,Brazil,Parana,4100301,Agudos do Sul,849.62,2022,3850.0
-26.0402650228,-49.30553369221313,Brazil,Parana,4100301,Agudos do Sul,849.62,2023,3360.0
-26.0402650228,-49.30553369221313,Brazil,Parana,4100301,Agudos do Sul,849.62,2024,3220.0
-25.30208112245,-49.32752829995356,Brazil,Parana,4100400,Almirante Tamandaré,905.85,2016,3000.0
-25.30208112245,-49.32752829995356,Brazil,Parana,4100400,Almirante Tamandaré,905.85,2018,3420.0
-25.30208112245,-49.32752829995356,Brazil,Parana,4100400,Almirante Tamandaré,905.85,2019,3467.0
-25.30208112245,-49.32752829995356,Brazil,Parana,4100400,Almirante Tamandaré,905.85,2020,3542.0
-25.30208112245,-49.32752829995356,Brazil,Parana,4100400,Almirante Tamandaré,905.85,2021,3347.0
-25.30208112245,-49.32752829995356,Brazil,Parana,4100400,Almirante Tamandaré,905.85,2022,3532.0
-25.30208112245,-49.32752829995356,Brazil,Parana,4100400,Almirante Tamandaré,905.85,2023,3700.0
-25.30208112245,-49.32752829995356,Brazil,Parana,4100400,Almirante Tamandaré,905.85,2024,3230.0
-24.82416966225,-52.67131991530654,Brazil,Parana,4100459,Altamira do Paraná,636.07,2016,2871.0
-24.82416966225,-52.67131991530654,Brazil,Parana,4100459,Altamira do Paraná,636.07,2017,3818.0
-24.82416966225,-52.67131991530654,Brazil,Parana,4100459,Altamira do Paraná,636.07,2018,3720.0
-24.82416966225,-52.67131991530654,Brazil,Parana,4100459,Altamira do Paraná,636.07,2019,3320.0
-24.82416966225,-52.67131991530654,Brazil,Parana,4100459,Altamira do Paraná,636.07,2020,3470.0
-24.82416966225,-52.67131991530654,Brazil,Parana,4100459,Altamira do Paraná,636.07,2021,3400.0
-24.82416966225,-52.67131991530654,Brazil,Parana,4100459,Altamira do Paraná,636.07,2022,2300.0
-24.82416966225,-52.67131991530654,Brazil,Parana,4100459,Altamira do Paraná,636.07,2023,3500.0
-24.82416966225,-52.67131991530654,Brazil,Parana,4100459,Altamira do Paraná,636.07,2024,3500.0
-23.9121037869,-53.91654909198218,Brazil,Parana,4100509,Altônia,315.06,2016,2780.0
-23.9121037869,-53.91654909198218,Brazil,Parana,4100509,Altônia,315.06,2017,2900.0
-23.9121037869,-53.91654909198218,Brazil,Parana,4100509,Altônia,315.06,2018,3400.0
-23.9121037869,-53.91654909198218,Brazil,Parana,4100509,Altônia,315.06,2019,1900.0
-23.9121037869,-53.91654909198218,Brazil,Parana,4100509,Altônia,315.06,2020,3500.0
-23.9121037869,-53.91654909198218,Brazil,Parana,4100509,Altônia,315.06,2021,3000.0
-23.9121037869,-53.91654909198218,Brazil,Parana,4100509,Altônia,315.06,2022,500.0
-23.9121037869,-53.91654909198218,Brazil,Parana,4100509,Altônia,315.06,2023,3300.0
-23.9121037869,-53.91654909198218,Brazil,Parana,4100509,Altônia,315.06,2024,2500.0
-23.07368426745,-52.30988392514965,Brazil,Parana,4100608,Alto Paraná,425.62,2016,2221.0
-23.07368426745,-52.30988392514965,Brazil,Parana,4100608,Alto Paraná,425.62,2017,2980.0
-23.07368426745,-52.30988392514965,Brazil,Parana,4100608,Alto Paraná,425.62,2018,2800.0
-23.07368426745,-52.30988392514965,Brazil,Parana,4100608,Alto Paraná,425.62,2019,1700.0
-23.07368426745,-52.30988392514965,Brazil,Parana,4100608,Alto Paraná,425.62,2020,2751.0
-23.07368426745,-52.30988392514965,Brazil,Parana,4100608,Alto Paraná,425.62,2021,2800.0
-23.07368426745,-52.30988392514965,Brazil,Parana,4100608,Alto Paraná,425.62,2022,1363.0
-23.07368426745,-52.30988392514965,Brazil,Parana,4100608,Alto Paraná,425.62,2023,3471.0
-23.07368426745,-52.30988392514965,Brazil,Parana,4100608,Alto Paraná,425.62,2024,1983.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2016,2589.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2017,3700.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2018,3700.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2019,2400.0
