parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,74192.47532339682,376647.6125605704,48629.91616381842,4115507,0.0,-23.75232682325,-51.64894848296537
AMAXTB014,194695.71485007022,436887.21905443567,160737.95842401835,4115507,0.0,-23.75232682325,-51.64894848296537
AMAXTB082,1305554.2932574945,2040160.9908390879,1304698.0812506662,4115507,0.0,-23.75232682325,-51.64894848296537
AMAXTB200,1326163.3584030936,2528269.64039128,1326163.3584030936,4115507,0.0,-23.75232682325,-51.64894848296537
TMPFTB000,0.0,0.0,0.0,4115507,0.0,-23.75232682325,-51.64894848296537
TMPFTB008,1926.5540907475513,6927.842274352183,1479.1269465828525,4115507,0.0,-23.75232682325,-51.64894848296537
TMPFTB020,1321016.5925199687,2334339.5085652084,1321016.5925199687,4115507,0.0,-23.75232682325,-51.64894848296537
TMPFTB035,2006944.8956050978,3985540.8843452977,2006944.8956050978,4115507,0.0,-23.75232682325,-51.64894848296537
TMPFTB045,0.0,0.0,0.0,4115507,0.0,-23.75232682325,-51.64894848296537
EFFTB000,0.0,0.0,0.0,4115507,0.0,-23.75232682325,-51.64894848296537
EFFTB040,0.0,0.0,0.0,4115507,0.0,-23.75232682325,-51.64894848296537
SLATB000,503107.684183703,1166745.297054309,425372.5954693936,4115507,0.0,-23.75232682325,-51.64894848296537
SLATB021,79091.79573172996,267207.56168519927,51251.74313576031,4115507,0.0,-23.75232682325,-51.64894848296537
SLATB029,113854.3290030794,312530.00577077706,101384.27762396222,4115507,0.0,-23.75232682325,-51.64894848296537
SLATB064,256165.14527536047,767971.3641478209,247191.61167998624,4115507,0.0,-23.75232682325,-51.64894848296537
SLATB100,929368.8051266674,1863852.6485255312,929368.8051266674,4115507,0.0,-23.75232682325,-51.64894848296537
SLATB200,289128.46819003153,626184.49841014,289128.46819003153,4115507,0.0,-23.75232682325,-51.64894848296537
RFSETB000,149220.70563968277,324399.2744267921,-149220.70563968277,4115507,0.0,-23.75232682325,-51.64894848296537
RFSETB200,572277.6981406244,1318212.474565388,-572277.6981406244,4115507,0.0,-23.75232682325,-51.64894848296537
CFET,10819.908553729818,53664.98021002693,-10625.31550930156,4115507,0.0,-23.75232682325,-51.64894848296537
CVL,146685.94609680248,452916.5519000119,146685.94609680248,4115507,0.0,-23.75232682325,-51.64894848296537
CVO,839128.2393373324,1711609.8469293092,839128.2393373324,4115507,0.0,-23.75232682325,-51.64894848296537
CVR,14775.641123984815,46480.020268785425,11920.419583047498,4115507,0.0,-23.75232682325,-51.64894848296537
CVS,40265.34729795829,74045.91110344208,40265.34729795829,4115507,0.0,-23.75232682325,-51.64894848296537
DEPNR,8836.681915881423,49915.226302043426,8786.27282572125,4115507,0.0,-23.75232682325,-51.64894848296537
DLC,322124.71327137336,1715738.324777906,-320150.94961533515,4115507,0.0,-23.75232682325,-51.64894848296537
DLO,92684.73240548153,588038.5194832975,72499.14375853793,4115507,0.0,-23.75232682325,-51.64894848296537
DVSEND,3640474.688692767,5226439.902370118,3640474.688692767,4115507,0.0,-23.75232682325,-51.64894848296537
DVSI,0.0,0.0,0.0,4115507,0.0,-23.75232682325,-51.64894848296537
IAIRDU,16407.196961500635,104128.28660874424,16044.526056875759,4115507,0.0,-23.75232682325,-51.64894848296537
IDSL,280150.10810186376,1470965.844462923,-264978.42919713695,4115507,0.0,-23.75232682325,-51.64894848296537
IOX,30554.83602747763,192826.38265039184,-30020.891482525974,4115507,0.0,-23.75232682325,-51.64894848296537
PERDL,64197.73683765966,618847.7623339378,-63409.673338774766,4115507,0.0,-23.75232682325,-51.64894848296537
Q10,6324.719767142234,19114.460122761175,-5213.4945181454605,4115507,0.0,-23.75232682325,-51.64894848296537
RDMCR,716.765065767198,7166.855203907329,716.765065767198,4115507,0.0,-23.75232682325,-51.64894848296537
RDI,36557.43445052374,203577.11574044448,-805.1388856544876,4115507,0.0,-23.75232682325,-51.64894848296537
RGRLAI,44774.10857954073,214706.15749465628,41958.21773649849,4115507,0.0,-23.75232682325,-51.64894848296537
RML,309490.40732430277,488167.79160443187,-309490.40732430277,4115507,0.0,-23.75232682325,-51.64894848296537
RMO,211372.93355267815,525977.3453207952,-211372.93355267815,4115507,0.0,-23.75232682325,-51.64894848296537
RMR,69374.03616560934,150343.55272016604,-69374.03616560934,4115507,0.0,-23.75232682325,-51.64894848296537
RMS,157261.2515583127,320124.99700439366,-157261.2515583127,4115507,0.0,-23.75232682325,-51.64894848296537
RRI,47883.41469041504,189732.0065220033,45948.73044601731,4115507,0.0,-23.75232682325,-51.64894848296537
SLATB,0.0,0.0,0.0,4115507,0.0,-23.75232682325,-51.64894848296537
SPAN,913312.965774467,2328201.205124354,913138.767675952,4115507,0.0,-23.75232682325,-51.64894848296537
TBASE,205479.1167245747,815992.2878385653,54956.737821286646,4115507,0.0,-23.75232682325,-51.64894848296537
TBASEM,45199.415043291294,134109.0706727913,-652.8478350789263,4115507,0.0,-23.75232682325,-51.64894848296537
TDWI,1255688.6204993194,2871800.5582597503,1153414.9394720525,4115507,0.0,-23.75232682325,-51.64894848296537
TEFFMX,45539.99078585241,127986.33096641494,-8924.564013790794,4115507,0.0,-23.75232682325,-51.64894848296537
TSUM1,820307.088351463,1794727.5881975153,105503.34688644491,4115507,0.0,-23.75232682325,-51.64894848296537
TSUM2,940119.065022591,1980151.773582143,928835.2072267401,4115507,0.0,-23.75232682325,-51.64894848296537
TSUMEM,40582.64996631567,128739.712258929,5516.9687411167515,4115507,0.0,-23.75232682325,-51.64894848296537
