parameter,mu_star,sigma,mu
DVSEND,3168395.587503602,4521486.415019083,3168395.587503602
TMPFTB035,2005792.2095310278,3312600.399304199,2005792.2095310278
AMAXTB200,1990623.8643966059,3324979.17823947,1990623.8643966059
AMAXTB082,1938177.3569233709,3717781.179391493,1938177.3569233709
SLATB100,1311235.348035898,2547967.9634839655,1311036.1135350624
TDWI,1258334.3942733726,3521236.412172601,1179327.5893233502
TSUM2,1232262.4563406867,2576600.8073657793,1196826.9393563105
TMPFTB020,1223533.7636822823,1936378.231722262,1223533.7636822823
SPAN,1175870.5398894888,2298121.384176425,1175470.2332755292
IDSL,863630.1270165935,2819116.09300184,-712372.0111215847
CVO,769519.3877017193,1526769.9462848266,769519.3877017193
RFSETB200,607899.6781388086,1374980.2051747888,-607899.6781388086
TSUM1,592593.2286956633,1484699.2162697695,116546.85506007345
RMO,439906.6188574184,1336434.8629150752,-439906.6188574184
RML,350620.95610808517,645319.9864430719,-350620.95610808517
DLC,329054.0670609001,1408989.2975805786,-328010.72869999654
SLATB000,314709.65177911613,756702.9804403958,262056.06426278487
SLATB064,297172.98051037395,987669.8062217531,279579.1202326141
SLATB200,296772.31198448484,690172.1047767892,296772.31198448484
RMS,252397.4080023057,669846.2166236534,-252397.4080023057
AMAXTB014,247077.82180682168,607503.7445949401,177074.8810801314
TBASE,183880.89120563114,511443.52436372,159457.84099588115
RFSETB000,176233.39999843438,369986.0759615377,-176233.39999843438
SLATB029,162459.49539595828,780905.0884198265,148106.42449236644
RMR,145679.96839308072,417724.8522148819,-145679.96839308072
AMAXTB000,142388.2789576102,716321.3202223575,81370.7959592017
CVL,136145.944342255,254314.5603981599,129911.67209349762
DLO,136121.14667902698,964027.4497770625,-111872.96773614247
IAIRDU,98100.38962546828,602140.5519841394,97465.26225638796
TBASEM,80789.52267016999,234432.6703256575,27458.91463917153
RRI,78306.60336311624,344505.6112348556,77316.75366848068
SLATB021,70294.74492022299,304200.4369919652,46426.79377474056
CVS,64484.02185193805,123619.45440221771,64119.81906233891
TSUMEM,59340.93062532166,236606.14906248226,25700.93674011774
RDI,41734.60995171024,202649.60340564905,15183.877778906359
TEFFMX,37346.996703994955,100830.93491363194,-15521.882497727613
CFET,35561.69523633469,223232.81882309206,-30773.047936451097
RGRLAI,34638.70376630779,339321.3529368488,34317.67929930017
CVR,34121.85036911562,109401.3757315899,31603.54671731951
Q10,22730.452144982628,67286.89977056367,-17206.62421151188
RDMCR,14481.547639897319,109967.74717281744,14344.411482851281
DEPNR,13023.287457792525,63342.925559837255,12633.492300613136
IOX,8758.979299555107,54701.04806763371,-8677.06124604242
PERDL,4395.21712577798,28051.286468811166,-4205.918777155257
TMPFTB008,2189.6361580612447,5642.074541427091,1564.7783570383358
DVSI,0.0,0.0,0.0
EFFTB000,0.0,0.0,0.0
EFFTB040,0.0,0.0,0.0
SLATB,0.0,0.0,0.0
TMPFTB000,0.0,0.0,0.0
TMPFTB045,0.0,0.0,0.0
