parameter,mu_star,sigma,mu
DVSEND,3631268.3461606135,5027953.073947047,3631268.3461606135
AMAXTB200,2180874.9136054986,3535397.8482621703,2180874.9136054986
AMAXTB082,1980133.1873602036,3822902.8092525355,1980133.1873602036
TMPFTB020,1733121.4722757703,2709943.617403982,1733121.4722757703
TMPFTB035,1712055.3344520829,2945834.3220353415,1712055.3344520172
TSUM2,1451065.1974642389,3222396.8281639013,1411934.167371336
SLATB100,1286744.4446791164,2493456.754482702,1286150.209836702
TDWI,1262705.5589382895,3476222.1688996195,1173238.401286018
SPAN,1261893.2078147517,2444372.579823036,1260374.5405874585
IDSL,933414.3854947891,3037076.3419507653,-796742.7409546211
CVO,920622.7124557724,1735093.1856599287,920622.7124557724
TSUM1,707460.9508070316,1793758.0604287,-11869.539494542612
RFSETB200,643417.3837347957,1356720.179806325,-643417.3837347957
RMO,488908.17170871794,1529219.180709769,-488908.17170871794
DLC,356847.51110061235,1582560.9354332818,-354251.1741674068
RML,355095.0714196827,661718.7920711513,-355095.0714196827
SLATB200,324691.34724309196,778963.0742977081,324691.31925357145
SLATB000,314282.8480515818,744930.7452263355,258277.3725143295
SLATB064,287498.86589679477,888788.7494852982,262402.01869794616
TBASE,266600.081823163,736165.586296589,236025.87537177608
RMS,246905.70543819582,552999.1045025362,-246905.70543819582
AMAXTB014,246863.4238196551,639246.8383359337,180745.28557500985
SLATB029,196741.20123145482,1035044.6256191361,180071.8438323283
RFSETB000,171487.91498997642,371457.4214544268,-171487.91498997642
CVL,139591.71306998117,281226.81724789954,133492.42483349875
RMR,138966.18981023773,360150.4225809276,-138966.18981023773
DLO,136777.65732592152,912465.9092932221,-112905.89818363907
AMAXTB000,119897.9031505441,634437.1943576584,67084.27757049487
RRI,81495.15347091366,337749.8498465791,80960.42161026152
TBASEM,76073.2394420987,200467.2572739979,29.426380287000175
IAIRDU,68902.16887788029,414179.23821985297,67942.50751172105
SLATB021,65892.18505837164,243080.2927388698,38792.71111144565
CVS,59142.73782529572,104558.1325827266,58987.37013348743
RGRLAI,58205.43641682137,573247.6238890862,57471.6022865251
TSUMEM,50032.90872716585,153630.53340097686,8233.050808284524
RDI,41935.943033562085,209612.0983581214,19897.657090440203
Q10,33682.84901453273,74718.72235389457,14573.32980101053
CVR,32360.26295424269,106144.4552883118,29399.35562881937
CFET,32058.117772188736,216930.4115241477,-29213.08095283205
TEFFMX,30760.275474099722,85966.80234891264,-6754.186802581001
RDMCR,22727.154834701036,142017.75130144178,22681.68966646075
DEPNR,15090.852169399473,70646.82361932054,14948.09981263353
TMPFTB008,14121.27751940634,41050.50865358307,12841.613420571095
IOX,12542.14551610054,80088.88953348545,-12379.45043968116
PERDL,9099.274973735648,70196.95835419688,-8869.807148538717
DVSI,0.0,0.0,0.0
EFFTB000,0.0,0.0,0.0
EFFTB040,0.0,0.0,0.0
SLATB,0.0,0.0,0.0
TMPFTB000,0.0,0.0,0.0
TMPFTB045,0.0,0.0,0.0
